"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
7,123,"BMP7_BMPR1A_BMPR2",13,123,"BMP7_BMPR1A_BMPR2",0.162,0.0887185104052574,2
7,123,"BMP7_BMPR1A_BMPR2",14,123,"BMP7_BMPR1A_BMPR2",0.267,0.146221248630887,2
7,7,"aVb1 complex_FN1",17,7,"aVb1 complex_FN1",0.333,0.18236582694414,2
7,50,"ANXA1_FPR3",3,50,"ANXA1_FPR3",0.194,0.106243154435926,2
7,50,"ANXA1_FPR3",15,50,"ANXA1_FPR3",0.689,0.377327491785323,2
7,50,"ANXA1_FPR3",17,50,"ANXA1_FPR3",0.628,0.343921139101862,2
7,9,"CXCL16_CXCR6",11,9,"CXCL16_CXCR6",0.573,0.313800657174151,2
7,9,"CXCL16_CXCR6",16,9,"CXCL16_CXCR6",0.581,0.318181818181818,2
7,104,"TGFBR3_TGFB1",3,104,"TGFBR3_TGFB1",0.382,0.209200438116101,2
7,104,"TGFBR3_TGFB1",5,104,"TGFBR3_TGFB1",0.495,0.271084337349398,2
7,104,"TGFBR3_TGFB1",6,104,"TGFBR3_TGFB1",0.146,0.0799561883899233,2
7,104,"TGFBR3_TGFB1",11,104,"TGFBR3_TGFB1",0.245,0.134173055859803,2
7,104,"TGFBR3_TGFB1",14,104,"TGFBR3_TGFB1",0.312,0.170865279299014,2
7,104,"TGFBR3_TGFB1",16,104,"TGFBR3_TGFB1",0.663,0.363088718510405,2
7,104,"TGFBR3_TGFB1",17,104,"TGFBR3_TGFB1",0.39,0.213581599123768,2
7,52,"CXCL10_CXCR3",11,52,"CXCL10_CXCR3",0.319,0.174698795180723,2
7,52,"CXCL10_CXCR3",16,52,"CXCL10_CXCR3",0.381,0.208652792990142,2
7,124,"SORT1_GRN",1,124,"SORT1_GRN",0.226,0.123767798466594,2
7,124,"SORT1_GRN",2,124,"SORT1_GRN",0.239,0.130887185104053,2
7,124,"SORT1_GRN",3,124,"SORT1_GRN",0.328,0.179627601314348,2
7,124,"SORT1_GRN",4,124,"SORT1_GRN",0.345,0.188937568455641,2
7,124,"SORT1_GRN",5,124,"SORT1_GRN",0.251,0.137458926615553,2
7,124,"SORT1_GRN",6,124,"SORT1_GRN",0.256,0.140197152245345,2
7,124,"SORT1_GRN",7,124,"SORT1_GRN",0.371,0.203176341730559,2
7,124,"SORT1_GRN",8,124,"SORT1_GRN",0.24,0.131434830230011,2
7,124,"SORT1_GRN",9,124,"SORT1_GRN",0.269,0.147316538882804,2
7,124,"SORT1_GRN",10,124,"SORT1_GRN",0.222,0.12157721796276,2
7,124,"SORT1_GRN",12,124,"SORT1_GRN",0.359,0.196604600219058,2
7,124,"SORT1_GRN",13,124,"SORT1_GRN",0.246,0.134720700985761,2
7,124,"SORT1_GRN",14,124,"SORT1_GRN",0.285,0.156078860898138,2
7,125,"SORT1_COPA",1,125,"SORT1_COPA",0.323,0.176889375684556,2
7,125,"SORT1_COPA",2,125,"SORT1_COPA",0.31,0.169769989047097,2
7,125,"SORT1_COPA",4,125,"SORT1_COPA",0.526,0.288061336254107,2
7,125,"SORT1_COPA",5,125,"SORT1_COPA",0.304,0.166484118291347,2
7,125,"SORT1_COPA",6,125,"SORT1_COPA",0.374,0.204819277108434,2
7,125,"SORT1_COPA",7,125,"SORT1_COPA",0.511,0.279846659364732,2
7,125,"SORT1_COPA",8,125,"SORT1_COPA",0.313,0.171412924424973,2
7,125,"SORT1_COPA",9,125,"SORT1_COPA",0.46,0.251916757940854,2
7,125,"SORT1_COPA",10,125,"SORT1_COPA",0.282,0.154435925520263,2
7,125,"SORT1_COPA",12,125,"SORT1_COPA",0.545,0.298466593647317,2
7,125,"SORT1_COPA",13,125,"SORT1_COPA",0.332,0.181818181818182,2
7,125,"SORT1_COPA",14,125,"SORT1_COPA",0.363,0.198795180722892,2
7,125,"SORT1_COPA",16,125,"SORT1_COPA",0.351,0.192223439211391,2
7,12,"EGFR_TGFB1",3,12,"EGFR_TGFB1",0.392,0.214676889375685,2
7,12,"EGFR_TGFB1",5,12,"EGFR_TGFB1",0.506,0.27710843373494,2
7,12,"EGFR_TGFB1",6,12,"EGFR_TGFB1",0.156,0.0854326396495071,2
7,12,"EGFR_TGFB1",11,12,"EGFR_TGFB1",0.255,0.139649507119387,2
